DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
1.5,0,10,146.958,36248.18,147.958,50,0,0,57.457,22320.96,20.7322,19.77264,3.764,0.921,1000,
1.6,0,10,146.604,36156.65,147.604,50,0,0,56.42,22210.75,20.59688,19.51872,3.635,0.934,1000,
1.7,0,10,146.433,36110.53,147.433,50,0,0,55.466,22179.06,21.04798,19.69145,4.109,0.829,1000,
1.8,0,10,144.754,35690.39,145.754,50,0,0,54.758,21629.49,19.63785,19.32745,4.155,0.987,1000,
1.9,0,10,146.477,36117.13,147.477,50,0,0,53.804,22201.74,21.27739,19.80093,3.518,0.778,1000,
10,0,10,154.007,37916.2,155.007,50,0,0,34.008,24645.52,24.87909,21.96642,3.491,1.022,1000,
2,0,10,146.045,36005.34,147.045,50,0,0,52.895,22038.1,20.40305,20.37084,3.621,0.954,1000,
2.1,0,10,146.492,36117.09,147.492,50,0,0,52.422,22185.65,20.78928,19.77944,4.125,0.957,1000,
2.2,0,10,145.996,35990.56,146.996,50,0,0,52.173,22092.88,22.0351,20.07376,3.924,0.994,1000,
2.3,0,10,144.671,35658.94,145.671,50,0,0,51.624,21619.02,19.98437,19.92122,4.196,0.882,1000,
2.4,0,10,145.875,35958.7,146.875,50,0,0,51.283,21990.63,20.46424,19.17621,2.764,0.857,1000,
2.5,0,10,146.115,36016.48,147.115,50,0,0,50.714,22077.71,20.86433,19.39416,3.393,1.117,1000,
2.6,0,10,146.271,36052.93,147.271,50,0,0,50.496,22132.24,21.0698,19.28782,4.245,1.057,1000,
2.7,0,10,146.097,36009.66,147.097,50,0,0,50.214,22115.61,21.87599,19.83067,4.028,1.043,1000,
2.8,0,10,145.763,35922.27,146.763,50,0,0,49.945,21935.44,19.91136,20.0022,4.098,0.897,1000,
2.9,0,10,146.457,36095.95,147.457,50,0,0,49.26,22187.25,21.07433,20.02247,4.102,0.973,1000,
3,0,10,146.031,35988.23,147.031,50,0,0,48.767,22059.68,21.02392,19.97667,3.541,0.911,1000,
3.1,0,10,146.409,36079.18,147.409,50,0,0,48.49,22150.85,20.53924,20.29033,4.137,0.999,1000,
3.2,0,10,146.868,36194.14,147.868,50,0,0,48.211,22297.18,20.80065,20.60397,3.99,0.935,1000,
3.3,0,10,146.79,36175.23,147.79,50,0,0,47.908,22339.93,22.32815,20.00896,3.674,0.816,1000,
3.4,0,10,146.49,36097.23,147.49,50,0,0,47.691,22268.18,22.70223,20.058,4.455,1.013,1000,
3.5,0,10,145.531,35857.39,146.531,50,0,0,47.485,21881.9,20.27257,20.01203,4.004,1.017,1000,
3.6,0,10,146.3,36050.6,147.3,50,0,0,47.118,22115.8,20.46766,19.82513,3.435,1.081,1000,
3.7,0,10,146.334,36056.71,147.334,50,0,0,46.865,22133.23,20.64817,20.05976,3.478,0.903,1000,
3.8,0,10,147.245,36281.28,148.245,50,0,0,46.607,22439.55,21.52755,19.83131,4.386,0.843,1000,
3.9,0,10,146.166,36009.36,147.166,50,0,0,46.041,22072.92,20.38387,20.01536,4.127,0.934,1000,
4,0,10,147.276,36288.39,148.276,50,0,0,45.898,22455.94,21.6942,20.39987,3.977,0.986,1000,
4.1,0,10,146.873,36186.42,147.873,50,0,0,45.685,22273.24,20.17987,20.2084,3.501,0.912,1000,
4.2,0,10,146.726,36148.33,147.726,50,0,0,45.533,22270.74,21.17105,20.15057,4.081,0.819,1000,
4.3,0,10,147.231,36274.36,148.231,50,0,0,45.45,22493.52,22.83874,19.81346,4.163,1.016,1000,
4.4,0,10,146.718,36146.37,147.718,50,0,0,45.05,22254.49,20.84036,19.8397,4.036,1.061,1000,
4.5,0,10,144.947,35704.79,145.947,50,0,0,44.889,21659.05,18.94408,20.205,4.032,1.136,1000,
4.6,0,10,147.085,36236.04,148.085,50,0,0,44.601,22342.05,20.32959,20.39593,3.805,0.807,1000,
4.7,0,10,146.632,36120.53,147.632,50,0,0,44.305,22218.29,20.57936,19.89099,4.289,1.128,1000,
4.8,0,10,146.595,36112.19,147.595,50,0,0,44.156,22227.31,21.05876,20.18223,4.152,0.855,1000,
4.9,0,10,147.747,36396.2,148.747,50,0,0,43.926,22560.11,20.85365,20.98218,4.405,1.149,1000,
5,0,10,146.826,36166.39,147.826,50,0,0,43.846,22284.69,20.79885,20.07035,3.682,1.062,1000,
5.1,0,10,147.422,36314.88,148.422,50,0,0,43.647,22462.29,20.82392,20.65287,3.546,0.993,1000,
5.2,0,10,147.322,36290.76,148.322,50,0,0,43.224,22464.86,21.58505,20.13992,3.397,0.91,1000,
5.3,0,10,147.838,36417.53,148.838,50,0,0,43.095,22604.68,21.26923,21.17091,3.614,1.012,1000,
5.4,0,10,148.545,36589.38,149.545,50,0,0,43.123,22890.44,22.96206,20.1111,4.111,1.067,1000,
5.5,0,10,147.677,36375.39,148.677,50,0,0,42.722,22565.69,21.47796,20.43316,4.277,0.865,1000,
5.6,0,10,147.85,36417.01,148.85,50,0,0,42.673,22639.42,21.99043,21.03223,3.781,0.823,1000,
5.7,0,10,147.705,36379.65,148.705,50,0,0,42.41,22553.6,20.99676,20.72062,4.226,0.997,1000,
5.8,0,10,147.277,36274.96,148.277,50,0,0,42.019,22405.27,20.4846,20.38292,4.156,0.89,1000,
5.9,0,10,147.195,36251.8,148.195,50,0,0,42.001,22429.38,21.63548,20.62603,4.13,1.111,1000,
6,0,10,148.747,36636.02,149.747,50,0,0,41.67,22900.71,21.84081,20.53212,4.165,1.045,1000,
6.1,0,10,148.545,36587.75,149.545,50,0,0,41.388,22826.2,21.51636,20.54616,3.807,1.121,1000,
6.2,0,10,148.467,36565.4,149.467,50,0,0,41.343,22887.04,23.39246,20.77957,4.283,0.959,1000,
6.3,0,10,148.196,36497.96,149.196,50,0,0,41.045,22803.1,23.32796,21.14291,3.903,0.914,1000,
6.4,0,10,147.844,36407.73,148.844,50,0,0,40.993,22626.97,21.74637,20.61543,3.914,0.942,1000,
6.5,0,10,147.957,36439.01,148.957,50,0,0,40.615,22644.73,21.37745,20.73033,4.179,0.781,1000,
6.6,0,10,148.235,36504.71,149.235,50,0,0,40.442,22726.23,21.34484,21.25818,4.049,1.012,1000,
6.7,0,10,148.881,36664.56,149.881,50,0,0,40.278,23014.55,23.46876,21.85898,4.125,0.814,1000,
6.8,0,10,147.946,36433.57,148.946,50,0,0,40.079,22680.01,22.26191,20.78785,3.531,1.106,1000,
6.9,0,10,149.128,36724.99,150.128,50,0,0,39.886,23076.4,23.20604,21.00775,3.995,0.927,1000,
7,0,10,148.757,36631.91,149.757,50,0,0,39.761,22885.38,21.4169,20.8381,4.229,0.926,1000,
7.1,0,10,148.919,36672.16,149.919,50,0,0,39.564,22929.32,21.30895,20.86153,3.52,0.886,1000,
7.2,0,10,149.197,36739.83,150.197,50,0,0,39.418,23061.65,22.42793,20.95099,3.87,0.981,1000,
7.3,0,10,150.39,37036.35,151.39,50,0,0,39.243,23465.96,23.40042,21.07891,3.666,0.927,1000,
7.4,0,10,149.632,36846.65,150.632,50,0,0,38.823,23214.93,22.92274,21.51918,4.1,1.043,1000,
7.5,0,10,151.027,37193.7,152.027,50,0,0,38.679,23671.8,23.66752,20.9439,3.603,0.8,1000,
7.6,0,10,150.116,36966,151.116,50,0,0,38.652,23422.6,24.23101,21.9286,4,1.032,1000,
7.7,0,10,150.476,37054.37,151.476,50,0,0,38.433,23548.38,24.5766,21.39072,4.131,0.92,1000,
7.8,0,10,150.736,37118.59,151.736,50,0,0,38.309,23544.32,22.82594,21.26089,3.815,1.001,1000,
7.9,0,10,149.678,36854.1,150.678,50,0,0,37.81,23254.26,23.47243,21.15104,3.941,0.919,1000,
8,0,10,150.132,36966.97,151.132,50,0,0,37.757,23398.82,23.63246,21.75367,4.139,0.969,1000,
8.1,0,10,150.912,37161.14,151.912,50,0,0,37.556,23644.86,23.83637,21.67483,4.578,1.127,1000,
8.2,0,10,150.06,36949.13,151.06,50,0,0,37.357,23365.05,23.37672,20.87926,4.221,1.013,1000,
8.3,0,10,150.935,37163.2,151.935,50,0,0,37.095,23659.28,23.9919,21.56948,3.925,0.972,1000,
8.4,0,10,150.97,37173.02,151.97,50,0,0,37.12,23607.05,22.64252,22.05948,3.735,0.922,1000,
8.5,0,10,151.503,37306.02,152.503,50,0,0,36.75,23927.37,25.90131,21.54393,4.619,1.022,1000,
8.6,0,10,151.025,37183.77,152.025,50,0,0,36.645,23660.85,23.44784,21.79181,3.737,0.969,1000,
8.7,0,10,152.128,37457.3,153.128,50,0,0,36.356,24051.31,24.57082,22.12707,4.175,0.992,1000,
8.8,0,10,151.574,37322.84,152.574,50,0,0,36.365,23880.06,24.53235,21.80639,4.069,1.036,1000,
8.9,0,10,152.94,37659.36,153.94,50,0,0,36.039,24287.32,24.29796,22.06499,3.546,1.005,1000,
9,0,10,151.712,37353.58,152.712,50,0,0,35.853,23856.03,23.14331,22.24032,4.098,0.957,1000,
9.1,0,10,151.158,37214.54,152.158,50,0,0,35.595,23722.01,23.88572,21.7723,3.838,1.004,1000,
9.2,0,10,152.723,37603.87,153.723,50,0,0,35.593,24235.64,24.6066,21.99594,3.586,0.856,1000,
9.3,0,10,152.521,37552.17,153.521,50,0,0,35.294,24144.28,24.00335,22.02717,3.866,1.095,1000,
9.4,0,10,152.572,37563.7,153.572,50,0,0,35.244,24154.78,23.89552,22.21536,4.238,0.962,1000,
9.5,0,10,152.393,37519.7,153.393,50,0,0,34.644,24158,25.08419,22.38157,3.747,0.911,1000,
9.6,0,10,152.175,37462.81,153.175,50,0,0,34.819,24044.98,24.14507,22.10578,4.144,0.897,1000,
9.7,0,10,153.771,37858.17,154.771,50,0,0,34.445,24600.74,25.4425,22.92789,4.075,0.993,1000,
9.8,0,10,152.79,37616.61,153.79,50,0,0,34.238,24369.31,26.80799,22.09654,3.783,1.003,1000,
9.9,0,10,153.137,37698.75,154.137,50,0,0,34.141,24415.86,25.65739,22.4519,4.529,0.806,1000,
DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.1,0,10,156.544,38695.79,157.544,50,0,0,82.63,25336.09,22.72647,20.91055,4.21,0.798,1000,
