Alpha,Beta,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0.9,0.5,0,10,313.385,77994.76,314.385,50,0,0,0.04,39.16177,2.01,0.49,800,
0.9,0.6,0,10,314.6487,78307.41,315.6487,50,0,0,0.04,40.92054,1.7775,0.40875,800,
0.9,0.7,0,10,314.8312,78350.2,315.8312,50,0,0,0.04,40.37649,2.135,0.515,800,
0.9,0.8,0,10,317.435,78999.66,318.435,50,0,0,0.04,38.8345,1.575,0.52,800,
0.9,0.9,0,10,318.45,79247.95,319.45,50,0,0,0.04,39.46892,1.7275,0.4075,800,
0.9,1,0,10,317.5587,79023.5,318.5587,50,0,0,0.04,39.78827,1.62875,0.49625,800,
1,0,0,10,312.1137,77666.42,313.1137,50,0,0,0.04,39.0337,2.58625,0.47125,800,
1,0.1,0,10,314.3112,78234.24,315.3112,50,0,0,0.04,41.19163,2.5325,0.545,800,
1,0.2,0,10,316.0688,78669.67,317.0688,50,0,0,0.04,40.05148,1.71,0.5425,800,
1,0.3,0,10,316.2313,78709.01,317.2313,50,0,0,0.04,40.01027,2.18125,0.50625,800,
1,0.4,0,10,316.5587,78789.15,317.5587,50,0,0,0.04,41.41033,1.9075,0.5875,800,
1,0.5,0,10,315.4575,78511.97,316.4575,50,0,0,0.04,40.33984,1.99625,0.25375,800,
1,0.6,0,10,314.4088,78249.95,315.4088,50,0,0,0.04,39.32772,1.6175,0.475,800,
1,0.7,0,10,314.5313,78275.75,315.5313,50,0,0,0.04,39.5092,2.1475,0.50375,800,
1,0.8,0,10,313.55,78030.35,314.55,50,0,0,0.04,39.65668,2.01625,0.54625,800,
1,0.9,0,10,318.1762,79179.97,319.1762,50,0,0,0.04,39.73582,1.74875,0.46375,800,
1,1,0,10,317.515,79012.57,318.515,50,0,0,0.04,40.53843,2.02375,0.485,800,
